scenario,removed_features,model,target,load_condition,n_train,n_test,n_features,MAE,MSE,RMSE,R2,fit_s,delta_R2_vs_baseline_current,delta_MAE_vs_baseline_current
baseline_current,(none),LightGBM,ACCEL_PEAK,all,172132,35832,28,66.6128856146948,17874.50672094351,133.6955747994058,0.8513415131136277,4.871875524520874,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_PEAK,no_load,122657,26166,28,43.140026417596225,9947.743330077272,99.73837441064133,0.5961294259706708,4.745462894439697,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_PEAK,load,49475,9666,28,131.43205489264435,37762.93204428826,194.3268690744753,0.8105747717413938,4.7412402629852295,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS,all,172132,35832,28,26.50013360768717,3020.739276288472,54.96125249926963,0.8546511133599208,4.949104070663452,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS,no_load,122657,26166,28,15.733796215704718,1630.8845018711654,40.38421104678368,0.6225745323931755,4.712696075439453,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS,load,49475,9666,28,54.165590019866876,6568.301639937585,81.04505931849013,0.8093530379726119,4.473215579986572,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS_FREQ,all,172132,35832,28,76.27093812727057,14530.351304225976,120.54190683835218,0.5815332517236043,5.020343542098999,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS_FREQ,no_load,122657,26166,28,57.37477124712495,10376.180518037085,101.8635387076116,0.5072672998960328,4.733765125274658,0.0,0.0
baseline_current,(none),LightGBM,ACCEL_RMS_FREQ,load,49475,9666,28,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,4.7913219928741455,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_PEAK,all,172132,35832,28,69.76353916784572,18476.318315598808,135.9276216064962,0.8463363735341781,1.9142274856567383,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_PEAK,no_load,122657,26166,28,47.785462188099366,10316.295746565256,101.56916730270686,0.5811664870338715,1.3589437007904053,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_PEAK,load,49475,9666,28,133.48043403436841,39055.505523884574,197.62465818790068,0.8040910054351547,1.149698257446289,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS,all,172132,35832,28,26.762584619120837,3032.849211851906,55.071310242738065,0.8540684196911077,1.649702548980713,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS,no_load,122657,26166,28,16.46393579576998,1665.9608817367405,40.81618406633257,0.6144570237299134,1.3627901077270508,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS,load,49475,9666,28,54.647817389024105,6715.609339593459,81.94882146555531,0.8050773869805996,1.103687047958374,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS_FREQ,all,172132,35832,28,74.83801033756133,14453.35367461547,120.22210143985784,0.5837507444058856,1.6712472438812256,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS_FREQ,no_load,122657,26166,28,63.40130678489446,10510.575291476353,102.52109681171164,0.500885308036747,1.3512678146362305,0.0,0.0
baseline_current,(none),XGBoost,ACCEL_RMS_FREQ,load,49475,9666,28,117.8769459221211,25930.625425538692,161.0298898513524,0.4988006845390547,1.1007752418518066,0.0,0.0
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_PEAK,all,172132,35832,27,87.99318494907291,25623.226442937223,160.0725661783968,0.7868970522307726,5.021317005157471,-0.06444446088285516,21.38029933437811
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_PEAK,no_load,122657,26166,27,57.468714360223544,14057.263464485963,118.56333102813012,0.4292861329143921,4.754486322402954,-0.16684329305627865,14.328687942627319
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_PEAK,load,49475,9666,27,160.183430859769,52575.19469000856,229.29281430085976,0.7362739672010752,4.475408315658569,-0.07430080454031862,28.75137596712466
no_speed_rms,SPEED_RMS,LightGBM,ACCEL_RMS,all,172132,35832,27,33.697976326908794,4127.720777948239,64.2473406293851,0.8013864936489793,4.969051122665405,-0.05326461971094154,7.197842719221622
