scenario,role,removed_features,model,target,load_condition,n_train,n_test,n_features,MAE,MSE,RMSE,R2,fit_s,delta_R2_vs_cnc_available_all,delta_MAE_vs_cnc_available_all
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS,all,172132,35832,27,34.406793964325736,4207.298764950634,64.86369373502124,0.7975574403100667,1.619081735610962,-0.0565109793810409,7.644209345204899
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS,no_load,122657,26166,27,23.445066448092035,2632.083020307485,51.30383046427903,0.3908733797030024,1.425694227218628,-0.223583644026911,6.981130652322054
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS,load,49475,9666,27,64.04356504085796,8532.143664763496,92.36960357587066,0.7523519231550025,1.1730499267578125,-0.052725463825597,9.395747651833853
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,all,172132,35832,27,76.83091017894313,14393.752232261471,119.9739648101265,0.5854672357179165,1.649909257888794,0.0017164913120308,1.9928998413817995
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,no_load,122657,26166,27,66.57000343492714,10982.393911488516,104.7969174713098,0.478480101979104,1.4150240421295166,-0.0224052060576429,3.168696650032686
no_speed_rms,B — sensibilidad,SPEED_RMS,XGBoost,ACCEL_RMS_FREQ,load,49475,9666,27,118.17985241515731,26060.5852106412,161.43291241454205,0.4962887607322852,1.150916337966919,-0.0025119238067694,0.3029064930362324
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,all,172132,35832,26,86.73004558543646,26807.49028936457,163.72993095144386,0.777047780626659,5.422004699707031,-0.0742937324869686,20.117159970741653
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,no_load,122657,26166,26,57.95800771811437,14062.946780520924,118.58729603343237,0.4290553947426009,5.1961939334869385,-0.1670740312280698,14.817981300518149
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_PEAK,load,49475,9666,26,167.8471449567545,60198.62929374624,245.3540896209929,0.698033535069535,5.154545545578003,-0.1125412366718587,36.41509006411016
conservative_no_speed_temperature,D — conservador secundario,SPEED_RMS;TEMPERATURE,LightGBM,ACCEL_RMS,all,172132,35832,26,34.498440671578074,4358.972935481001,66.02251839699089,0.7902593355078099,5.335023880004883,-0.0643917778521109,7.998307063890902
