evaluation_type,feature_scenario,removed_features,model,output_strategy,target,load_condition,n_features,n_train,n_test,MAE,MSE,RMSE,R2,fit_s,predict_s,notes
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,all,28,172132,37257,86.81636798332642,39194.065233757305,197.9749106168691,0.78797330400181,15.226162672042847,0.12672901153564453,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,all,28,172132,37257,32.43336447328036,5246.015824000357,72.42938508644373,0.8203882413028467,15.226162672042847,0.12672901153564453,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,all,28,172132,37257,85.68331405961759,19627.364156334388,140.0976950429035,0.5663011111899352,15.226162672042847,0.12672901153564453,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,no_load,28,122657,26166,43.140026417596225,9947.743330077272,99.73837441064133,0.5961294259706708,15.595097064971924,0.11748647689819336,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,no_load,28,122657,26166,15.733796215704718,1630.8845018711654,40.38421104678368,0.6225745323931755,15.595097064971924,0.11748647689819336,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,no_load,28,122657,26166,57.37477124712495,10376.180518037085,101.8635387076116,0.5072672998960328,15.595097064971924,0.11748647689819336,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,no_load,28,122657,26561,47.17705363328643,15106.742607139566,122.909489491819,0.543728814387818,15.595097064971924,0.09325957298278809,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,no_load,28,122657,26561,17.70601763977543,2820.2185862022557,53.105730257687405,0.542728329652181,15.595097064971924,0.09325957298278809,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,no_load,28,122657,26561,63.108263223951944,13991.079075726622,118.28389186920856,0.5088715009718474,15.595097064971924,0.09325957298278809,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,load,28,49475,9666,131.43205489264435,37762.93204428826,194.3268690744753,0.8105747717413938,15.406071901321411,0.04509162902832031,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,load,28,49475,9666,54.165590019866876,6568.301639937585,81.04505931849013,0.8093530379726119,15.406071901321411,0.04509162902832031,offline temporal split
filtered_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,load,28,49475,9666,115.65895666840372,25125.11738552717,158.5090451221228,0.5143699225202737,15.406071901321411,0.04509162902832031,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_PEAK,load,28,49475,10696,182.15463765874276,90367.63619936885,300.6121025497291,0.712421173205178,15.406071901321411,0.056900978088378906,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS,load,28,49475,10696,66.15955900512427,10448.738180771235,102.21906955539771,0.7760891672318504,15.406071901321411,0.056900978088378906,offline temporal split
raw_target_test,cnc_available_all,(none),LightGBM,multi,ACCEL_RMS_FREQ,load,28,49475,10696,130.50672662440883,32309.50729979629,179.74845562562226,0.48802793064794725,15.406071901321411,0.056900978088378906,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,all,28,172132,35832,74.76047735888179,20026.892110214667,141.51640226565493,0.8334405796690992,7.397567272186279,0.01330423355102539,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,all,28,172132,35832,29.84523145351403,3350.8126148437545,57.886204011351055,0.8387689772731773,7.397567272186279,0.01330423355102539,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,all,28,172132,35832,81.30689640734361,15782.494123983759,125.62839696495278,0.5454721735575667,7.397567272186279,0.01330423355102539,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,all,28,172132,37257,94.93821645690647,41219.89078095159,203.0268228115477,0.7770142699011476,7.397567272186279,0.010999917984008789,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,all,28,172132,37257,36.1196257218305,5777.110312713867,76.00730433789812,0.8022047629542324,7.397567272186279,0.010999917984008789,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,all,28,172132,37257,91.56303498296458,21773.565819889016,147.55868601979694,0.5188772559421303,7.397567272186279,0.010999917984008789,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,no_load,28,122657,26166,46.849055661314075,10465.07015482487,102.29892548225945,0.57512636278951,6.0436975955963135,0.009197473526000977,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,no_load,28,122657,26166,19.56528461123932,1826.7457914493257,42.74044678579443,0.577247571029389,6.0436975955963135,0.009197473526000977,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,no_load,28,122657,26166,64.49675882636974,11187.753091557555,105.77217541280672,0.4687282300729957,6.0436975955963135,0.009197473526000977,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,no_load,28,122657,26561,51.07286487712768,16007.1571005382,126.51939416760656,0.516533462012434,6.0436975955963135,0.008905172348022461,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,no_load,28,122657,26561,21.661358252273132,3105.8670352808326,55.73030625504253,0.4964131454031764,6.0436975955963135,0.008905172348022461,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,no_load,28,122657,26561,70.62097476164584,15346.875123565987,123.882505316796,0.46127902619848427,6.0436975955963135,0.008905172348022461,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,load,28,49475,9666,142.91650692572063,41796.66602007086,204.44232932558478,0.7903408826408073,4.05047869682312,0.004884243011474609,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,load,28,49475,9666,56.01832808624847,6768.921610040792,82.2734562908402,0.8035299820414344,4.05047869682312,0.004884243011474609,offline temporal split
filtered_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,load,28,49475,9666,122.22119471085112,26602.96777968748,163.10416236162547,0.4858053355212524,4.05047869682312,0.004884243011474609,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_PEAK,load,28,49475,10696,194.10962695318239,96311.52977951571,310.34098952525704,0.6935057958171851,4.05047869682312,0.00527501106262207,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS,load,28,49475,10696,68.85091612375231,10983.814395187062,104.8036945684028,0.7646227720852324,4.05047869682312,0.00527501106262207,offline temporal split
raw_target_test,cnc_available_all,(none),CatBoost,multi,ACCEL_RMS_FREQ,load,28,49475,10696,137.69034648291776,34555.432786273785,185.8909163629944,0.45243930008626576,4.05047869682312,0.00527501106262207,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,all,28,172132,35832,85.42987036150883,23828.77935133907,154.36573243870893,0.801821088658702,60.63084626197815,0.037833452224731445,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,all,28,172132,35832,37.30960117417982,4340.111764165861,65.87952462006584,0.7911668783311521,60.63084626197815,0.037833452224731445,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,all,28,172132,35832,108.34997844501105,23945.863381614967,154.74451002092115,0.31037127911278517,60.63084626197815,0.037833452224731445,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,all,28,172132,37257,105.35055778441213,45545.306270808775,213.4134631901389,0.7536152284987283,60.63084626197815,0.024461030960083008,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,all,28,172132,37257,43.20453803049596,6838.681804721461,82.69632280048165,0.7658589475661177,60.63084626197815,0.024461030960083008,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,all,28,172132,37257,119.10455810965364,31520.294018371715,177.5395562075441,0.30350726761634506,60.63084626197815,0.024461030960083008,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,no_load,28,122657,26166,72.67449908153742,17154.623513816325,130.97566000527092,0.3035357451539503,44.49089050292969,0.025120973587036133,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,no_load,28,122657,26166,28.716445969989703,3115.536833883113,55.81699413156456,0.2789906673185676,44.49089050292969,0.025120973587036133,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,no_load,28,122657,26166,108.13559891624811,22867.039934306893,151.21851716739883,-0.08588495647604466,44.49089050292969,0.025120973587036133,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,no_load,28,122657,26561,77.1764799563523,23982.80018500788,154.8638117347235,0.2756439320319116,44.49089050292969,0.02332925796508789,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,no_load,28,122657,26561,31.01097573476274,4699.2218105013735,68.5508702388334,0.23806579492247926,44.49089050292969,0.02332925796508789,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,no_load,28,122657,26561,115.11403475478485,29030.155546944272,170.38238038877222,-0.01904482443103306,44.49089050292969,0.02332925796508789,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,load,28,49475,9666,160.0389027165333,54746.78536386678,233.9803097781238,0.7253809025789368,24.424622774124146,0.020544052124023438,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,load,28,49475,9666,67.7728399238909,10079.388189375597,100.39615624801378,0.7074426780714271,24.424622774124146,0.020544052124023438,offline temporal split
filtered_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,load,28,49475,9666,136.80789264591138,33154.58559132877,182.08400696197558,0.3591725872373519,24.424622774124146,0.020544052124023438,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_PEAK,load,28,49475,10696,214.1641016250184,115599.85384524237,339.99978506646494,0.632124157003236,24.424622774124146,0.022665977478027344,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS,load,28,49475,10696,81.49962878238938,15257.339716218974,123.52060441974437,0.6730434256672135,24.424622774124146,0.022665977478027344,offline temporal split
raw_target_test,cnc_available_all,(none),MLPRegressor,multi,ACCEL_RMS_FREQ,load,28,49475,10696,150.94470840895116,40443.380541755745,201.1053966002796,0.35913967875066344,24.424622774124146,0.022665977478027344,offline temporal split
