model,output_strategy,target,load_condition,R2_filtered,R2_raw_target,delta_R2,MAE_filtered,MAE_raw_target,delta_MAE
CatBoost,single,ACCEL_RMS,all,0.8387689772731773,0.8022047629542324,-0.036564214318944965,29.84523145351403,36.1196257218305,6.27439426831647
CatBoost,single,ACCEL_PEAK,all,0.8334405796690992,0.7770142699011476,-0.0564263097679516,74.76047735888179,94.93821645690647,20.177739098024688
CatBoost,multi,ACCEL_PEAK,all,0.8334405796690992,0.7770142699011476,-0.0564263097679516,74.76047735888179,94.93821645690647,20.177739098024688
RandomForest,multi,ACCEL_RMS,load,0.8141303690342089,0.7604870343215702,-0.05364333471263871,52.95596886058515,67.30757720025626,14.35160833967111
LightGBM,multi,ACCEL_PEAK,load,0.8105747717413938,0.712421173205178,-0.09815359853621586,131.43205489264435,182.15463765874276,50.72258276609841
LightGBM,single,ACCEL_PEAK,load,0.8105747717413938,0.712421173205178,-0.09815359853621586,131.43205489264435,182.15463765874276,50.72258276609841
LightGBM,single,ACCEL_RMS,load,0.8093530379726119,0.7760891672318504,-0.033263870740761536,54.165590019866876,66.15955900512427,11.99396898525739
LightGBM,multi,ACCEL_RMS,load,0.8093530379726119,0.7760891672318504,-0.033263870740761536,54.165590019866876,66.15955900512427,11.99396898525739
XGBoost,multi,ACCEL_RMS,load,0.8050773869805996,0.7751774392419928,-0.029899947738606825,54.647817389024105,66.46001848566443,11.81220109664033
XGBoost,single,ACCEL_RMS,load,0.8050773869805996,0.7751774392419928,-0.029899947738606825,54.647817389024105,66.46001848566443,11.81220109664033
RandomForest,multi,ACCEL_PEAK,load,0.8045802322102669,0.6910620506080184,-0.11351818160224847,133.3113942442092,187.21690895372134,53.90551470951215
XGBoost,multi,ACCEL_PEAK,load,0.8040910054351547,0.7043099666324927,-0.09978103880266198,133.48043403436841,184.6468751794519,51.166441145083496
XGBoost,single,ACCEL_PEAK,load,0.8040910054351547,0.7043099666324927,-0.09978103880266198,133.48043403436841,184.6468751794519,51.166441145083496
CatBoost,single,ACCEL_RMS,load,0.8035299820414344,0.7646227720852324,-0.038907209956202005,56.01832808624847,68.85091612375231,12.832588037503847
CatBoost,multi,ACCEL_RMS,load,0.8035299820414344,0.7646227720852324,-0.038907209956202005,56.01832808624847,68.85091612375231,12.832588037503847
RandomForest,single,ACCEL_RMS,load,0.8025439917060955,0.7553452919758118,-0.04719869973028368,53.66936418494013,67.53353390753199,13.86416972259186
MLPRegressor,multi,ACCEL_PEAK,all,0.801821088658702,0.7536152284987283,-0.048205860159973746,85.42987036150883,105.35055778441213,19.9206874229033
RandomForest,single,ACCEL_PEAK,load,0.7969294904670706,0.689692712767606,-0.1072367776994646,133.12966201226715,185.46634138430275,52.336679372035604
MLPRegressor,multi,ACCEL_RMS,all,0.7911668783311521,0.7658589475661177,-0.025307930765034348,37.30960117417982,43.20453803049596,5.894936856316143
CatBoost,multi,ACCEL_PEAK,load,0.7903408826408073,0.6935057958171851,-0.09683508682362219,142.91650692572063,194.10962695318239,51.19312002746176
CatBoost,single,ACCEL_PEAK,load,0.7903408826408073,0.6935057958171851,-0.09683508682362219,142.91650692572063,194.10962695318239,51.19312002746176
MLPRegressor,single,ACCEL_RMS,all,0.7713234657666888,0.7487377934712386,-0.022585672295450165,42.55160074253198,48.53220421206362,5.980603469531637
MLPRegressor,single,ACCEL_RMS,load,0.7320666020173396,0.7074558135821025,-0.02461078843523712,64.42220604453675,77.4260151578985,13.003809113361754
MLPRegressor,multi,ACCEL_PEAK,load,0.7253809025789368,0.632124157003236,-0.09325674557570085,160.0389027165333,214.1641016250184,54.12519890848509
MLPRegressor,multi,ACCEL_RMS,load,0.7074426780714271,0.6730434256672135,-0.0343992524042136,67.7728399238909,81.49962878238938,13.72678885849848
MLPRegressor,single,ACCEL_PEAK,all,0.7074169370664307,0.6988517444393285,-0.008565192627102203,105.92792651527618,124.65942012093866,18.73149360566248
MLPRegressor,single,ACCEL_PEAK,load,0.6960927418896643,0.6053139459312633,-0.09077879595840099,170.50550897144078,225.83415537822785,55.32864640678707
LightGBM,multi,ACCEL_RMS,no_load,0.6225745323931755,0.542728329652181,-0.07984620274099452,15.733796215704718,17.70601763977543,1.9722214240707103
LightGBM,single,ACCEL_RMS,no_load,0.6225745323931755,0.542728329652181,-0.07984620274099452,15.733796215704718,17.70601763977543,1.9722214240707103
XGBoost,single,ACCEL_RMS,no_load,0.6144570237299134,0.5378773054858055,-0.07657971824410792,16.46393579576998,18.450982679912606,1.9870468841426252
XGBoost,multi,ACCEL_RMS,no_load,0.6144570237299134,0.5378773054858055,-0.07657971824410792,16.46393579576998,18.450982679912606,1.9870468841426252
LightGBM,multi,ACCEL_PEAK,no_load,0.5961294259706708,0.543728814387818,-0.05240061158285281,43.140026417596225,47.17705363328643,4.037027215690202
LightGBM,single,ACCEL_PEAK,no_load,0.5961294259706708,0.543728814387818,-0.05240061158285281,43.140026417596225,47.17705363328643,4.037027215690202
RandomForest,single,ACCEL_RMS,no_load,0.5908991489882891,0.5226216272279705,-0.06827752176031865,17.076771306820017,18.986871651095623,1.9101003442756053
RandomForest,multi,ACCEL_RMS,no_load,0.5840470454938896,0.507437417019543,-0.0766096284743466,19.0327930596243,21.02894915997476,1.9961561003504613
XGBoost,multi,ACCEL_RMS_FREQ,all,0.5837507444058856,0.5652781520524878,-0.01847259235339782,74.83801033756133,84.42502282237479,9.587012484813457
XGBoost,single,ACCEL_RMS_FREQ,all,0.5837507444058856,0.5652781520524878,-0.01847259235339782,74.83801033756133,84.42502282237479,9.587012484813457
RandomForest,multi,ACCEL_PEAK,no_load,0.5830936513060836,0.5340678431873367,-0.049025808118746905,46.466107415408906,50.462780046053325,3.9966726306444187
LightGBM,single,ACCEL_RMS_FREQ,all,0.5815332517236043,0.5663011111899352,-0.015232140533669059,76.27093812727057,85.68331405961759,9.412375932347018
LightGBM,multi,ACCEL_RMS_FREQ,all,0.5815332517236043,0.5663011111899352,-0.015232140533669059,76.27093812727057,85.68331405961759,9.412375932347018
XGBoost,multi,ACCEL_PEAK,no_load,0.5811664870338715,0.5332479994360377,-0.04791848759783379,47.785462188099366,51.770335601252526,3.98487341315316
XGBoost,single,ACCEL_PEAK,no_load,0.5811664870338715,0.5332479994360377,-0.04791848759783379,47.785462188099366,51.770335601252526,3.98487341315316
CatBoost,multi,ACCEL_RMS,no_load,0.577247571029389,0.4964131454031764,-0.08083442562621257,19.56528461123932,21.661358252273132,2.0960736410338114
CatBoost,single,ACCEL_RMS,no_load,0.577247571029389,0.4964131454031764,-0.08083442562621257,19.56528461123932,21.661358252273132,2.0960736410338114
CatBoost,single,ACCEL_PEAK,no_load,0.57512636278951,0.516533462012434,-0.05859290077707602,46.849055661314075,51.07286487712768,4.223809215813603
CatBoost,multi,ACCEL_PEAK,no_load,0.57512636278951,0.516533462012434,-0.05859290077707602,46.849055661314075,51.07286487712768,4.223809215813603
RandomForest,single,ACCEL_RMS_FREQ,all,0.5697004492110196,0.5608178893820999,-0.008882559828919723,79.30738357657908,88.42842234250294,9.121038765923856
RandomForest,single,ACCEL_PEAK,no_load,0.5691198134337833,0.5272973999624763,-0.041822413471306996,45.09805839857591,49.00898189478583,3.910923496209925
CatBoost,multi,ACCEL_RMS_FREQ,all,0.5454721735575667,0.5188772559421303,-0.02659491761543642,81.30689640734361,91.56303498296458,10.256138575620966
CatBoost,single,ACCEL_RMS_FREQ,all,0.5454721735575667,0.5188772559421303,-0.02659491761543642,81.30689640734361,91.56303498296458,10.256138575620966
RandomForest,multi,ACCEL_RMS_FREQ,all,0.5299854068290444,0.5176717596465359,-0.012313647182508491,81.80034226240666,91.639035606194,9.838693343787341
LightGBM,multi,ACCEL_RMS_FREQ,load,0.5143699225202737,0.48802793064794725,-0.026341991872326442,115.65895666840372,130.50672662440883,14.84776995600511
LightGBM,single,ACCEL_RMS_FREQ,load,0.5143699225202737,0.48802793064794725,-0.026341991872326442,115.65895666840372,130.50672662440883,14.84776995600511
RandomForest,single,ACCEL_RMS_FREQ,load,0.5106719444191398,0.4861080629585881,-0.024563881460551662,115.31049461817176,130.17430785263244,14.863813234460679
LightGBM,multi,ACCEL_RMS_FREQ,no_load,0.5072672998960328,0.5088715009718474,0.0016042010758146041,57.37477124712495,63.108263223951944,5.733491976826997
LightGBM,single,ACCEL_RMS_FREQ,no_load,0.5072672998960328,0.5088715009718474,0.0016042010758146041,57.37477124712495,63.108263223951944,5.733491976826997
XGBoost,single,ACCEL_RMS_FREQ,no_load,0.500885308036747,0.5013630317105734,0.00047772367382636904,63.40130678489446,69.1706686091364,5.76936182424194
XGBoost,multi,ACCEL_RMS_FREQ,no_load,0.500885308036747,0.5013630317105734,0.00047772367382636904,63.40130678489446,69.1706686091364,5.76936182424194
XGBoost,single,ACCEL_RMS_FREQ,load,0.4988006845390547,0.47295141049968537,-0.02584927403936932,117.8769459221211,132.64121023291708,14.76426431079598
XGBoost,multi,ACCEL_RMS_FREQ,load,0.4988006845390547,0.47295141049968537,-0.02584927403936932,117.8769459221211,132.64121023291708,14.76426431079598
CatBoost,single,ACCEL_RMS_FREQ,load,0.4858053355212524,0.45243930008626576,-0.03336603543498662,122.22119471085112,137.69034648291776,15.469151772066638
CatBoost,multi,ACCEL_RMS_FREQ,load,0.4858053355212524,0.45243930008626576,-0.03336603543498662,122.22119471085112,137.69034648291776,15.469151772066638
RandomForest,single,ACCEL_RMS_FREQ,no_load,0.4724114514690636,0.4808293396932789,0.008417888224215297,65.82858983875823,71.57794098495579,5.749351146197554
CatBoost,multi,ACCEL_RMS_FREQ,no_load,0.4687282300729957,0.46127902619848427,-0.007449203874511423,64.49675882636974,70.62097476164584,6.124215935276098
